date,lat,lon,sst
2026-05-06,-8.000,157.000,29.281
2026-05-06,-8.000,158.000,29.391
2026-05-06,-8.000,159.000,29.617
2026-05-06,-8.000,160.000,29.633
2026-05-06,-8.000,161.000,29.804
2026-05-06,-8.000,162.000,29.959
2026-05-06,-8.000,163.000,29.928
2026-05-06,-8.000,164.000,30.101
2026-05-06,-8.000,165.000,30.163
2026-05-06,-8.000,166.000,30.269
2026-05-06,-8.000,167.000,29.691
2026-05-06,-8.000,168.000,29.188
2026-05-06,-8.000,169.000,29.844
2026-05-06,-8.000,170.000,29.808
2026-05-06,-8.000,171.000,30.056
2026-05-06,-8.000,172.000,30.235
2026-05-06,-8.000,173.000,30.231
2026-05-06,-8.000,174.000,30.251
2026-05-06,-8.000,175.000,30.186
2026-05-06,-8.000,176.000,30.266
2026-05-06,-8.000,177.000,30.421
2026-05-06,-8.000,178.000,30.469
2026-05-06,-8.000,179.000,30.482
2026-05-06,-8.000,180.000,30.539
2026-05-06,-7.000,39.000,28.917
2026-05-06,-7.000,40.000,28.958
2026-05-06,-7.000,41.000,28.980
2026-05-06,-7.000,42.000,29.281
2026-05-06,-7.000,43.000,29.326
2026-05-06,-7.000,44.000,29.226
2026-05-06,-7.000,45.000,29.165
2026-05-06,-7.000,46.000,28.946
2026-05-06,-7.000,47.000,28.806
2026-05-06,-7.000,48.000,28.795
2026-05-06,-7.000,49.000,29.037
2026-05-06,-7.000,50.000,29.108
2026-05-06,-7.000,51.000,28.763
2026-05-06,-7.000,52.000,29.064
2026-05-06,-7.000,53.000,29.333
2026-05-06,-7.000,54.000,29.366
2026-05-06,-7.000,55.000,29.395
2026-05-06,-7.000,56.000,29.422
2026-05-06,-7.000,57.000,29.315
2026-05-06,-7.000,58.000,29.219
2026-05-06,-7.000,59.000,29.319
2026-05-06,-7.000,60.000,29.524
2026-05-06,-7.000,61.000,29.539
2026-05-06,-7.000,62.000,29.468
2026-05-06,-7.000,63.000,29.456
2026-05-06,-7.000,64.000,29.542
2026-05-06,-7.000,65.000,29.703
2026-05-06,-7.000,66.000,29.696
2026-05-06,-7.000,67.000,29.488
2026-05-06,-7.000,68.000,29.434
2026-05-06,-7.000,69.000,29.665
2026-05-06,-7.000,70.000,29.952
2026-05-06,-7.000,71.000,29.933
2026-05-06,-7.000,72.000,29.804
2026-05-06,-7.000,73.000,29.787
2026-05-06,-7.000,74.000,29.850
2026-05-06,-7.000,75.000,29.964
2026-05-06,-7.000,76.000,29.895
2026-05-06,-7.000,77.000,29.811
2026-05-06,-7.000,78.000,29.758
2026-05-06,-7.000,79.000,29.870
2026-05-06,-7.000,80.000,29.981
2026-05-06,-7.000,81.000,29.943
2026-05-06,-7.000,82.000,29.886
2026-05-06,-7.000,83.000,29.873
2026-05-06,-7.000,84.000,30.088
2026-05-06,-7.000,85.000,30.142
2026-05-06,-7.000,86.000,29.682
2026-05-06,-7.000,87.000,29.478
2026-05-06,-7.000,88.000,29.882
2026-05-06,-7.000,89.000,29.694
2026-05-06,-7.000,90.000,30.281
2026-05-06,-7.000,91.000,30.218
2026-05-06,-7.000,92.000,30.030
2026-05-06,-7.000,93.000,29.887
2026-05-06,-7.000,94.000,29.628
2026-05-06,-7.000,95.000,29.532
2026-05-06,-7.000,96.000,29.898
2026-05-06,-7.000,97.000,30.131
2026-05-06,-7.000,98.000,30.194
2026-05-06,-7.000,99.000,30.253
2026-05-06,-7.000,100.000,29.986
2026-05-06,-7.000,101.000,29.745
2026-05-06,-7.000,102.000,29.703
2026-05-06,-7.000,103.000,29.879
2026-05-06,-7.000,104.000,30.058
2026-05-06,-7.000,105.000,30.054
2026-05-06,-7.000,106.000,29.705
2026-05-06,-7.000,107.000,29.440
2026-05-06,-7.000,109.000,30.262
2026-05-06,-7.000,110.000,30.099
2026-05-06,-7.000,111.000,30.017
2026-05-06,-7.000,112.000,30.033
2026-05-06,-7.000,113.000,30.002
2026-05-06,-7.000,114.000,29.847
2026-05-06,-7.000,115.000,29.868
2026-05-06,-7.000,116.000,29.834
2026-05-06,-7.000,117.000,29.774
2026-05-06,-7.000,118.000,29.385
